key,locale,text,context,variables,review_state,source_content_ids,release_marked
loc:admin/capital_district,en-US,Capital District,Later Han administrative label,,approved,,true
loc:admin/guo,en-US,Kingdom,Later Han administrative label,,approved,,true
loc:admin/houguo,en-US,Marquisate,Later Han administrative label,,approved,,true
loc:admin/yi,en-US,Estate,Later Han administrative label,,approved,,true
loc:admin/gongguo,en-US,Duchy,Later Han administrative label,,approved,,true
loc:admin/dao,en-US,Dao,Later Han administrative label,,approved,,true
loc:admin/locality,en-US,Locality,Later Han administrative label,,approved,,true
loc:later_han/region/a001/name,en-US,Sili,Later Han province name; 司隸; audited source cell A1,,approved,region:later_han/a001,true
loc:later_han/region/h001/name,en-US,Yu,Later Han province name; 豫州; audited source cell H1,,approved,region:later_han/h001,true
loc:later_han/region/n001/name,en-US,Ji,Later Han province name; 冀州; audited source cell N1,,approved,region:later_han/n001,true
loc:later_han/region/w001/name,en-US,Yan,Later Han province name; 兗州; audited source cell W1,,approved,region:later_han/w001,true
loc:later_han/region/ae001/name,en-US,Xu,Later Han province name; 徐州; audited source cell AE1,,approved,region:later_han/ae001,true
loc:later_han/region/aj001/name,en-US,Qing,Later Han province name; 青州; audited source cell AJ1,,approved,region:later_han/aj001,true
loc:later_han/region/ap001/name,en-US,Jing,Later Han province name; 荊州; audited source cell AP1,,approved,region:later_han/ap001,true
loc:later_han/region/aw001/name,en-US,Yang,Later Han province name; 揚州; audited source cell AW1,,approved,region:later_han/aw001,true
loc:later_han/region/bc001/name,en-US,Yi,Later Han province name; 益州; audited source cell BC1,,approved,region:later_han/bc001,true
loc:later_han/region/bo001/name,en-US,Liang,Later Han province name; 涼州; audited source cell BO1,,approved,region:later_han/bo001,true
loc:later_han/region/ca001/name,en-US,Bing,Later Han province name; 並州; audited source cell CA1,,approved,region:later_han/ca001,true
loc:later_han/region/cj001/name,en-US,You,Later Han province name; 幽州; audited source cell CJ1,,approved,region:later_han/cj001,true
loc:later_han/region/cu001/name,en-US,Jiao,Later Han province name; 交州; audited source cell CU1,,approved,region:later_han/cu001,true
