key,locale,text,context,variables,review_state,source_content_ids,release_marked
loc:admin/capital_district,ko-KR,경기,Later Han administrative label,,approved,,true
loc:admin/guo,ko-KR,국,Later Han administrative label,,approved,,true
loc:admin/houguo,ko-KR,후국,Later Han administrative label,,approved,,true
loc:admin/yi,ko-KR,읍,Later Han administrative label,,approved,,true
loc:admin/gongguo,ko-KR,공국,Later Han administrative label,,approved,,true
loc:admin/dao,ko-KR,도,Later Han administrative label,,approved,,true
loc:admin/locality,ko-KR,지역,Later Han administrative label,,approved,,true
loc:later_han/region/a001/name,ko-KR,사주,Later Han province name; 司隸; audited source cell A1,,approved,region:later_han/a001,true
loc:later_han/region/h001/name,ko-KR,예주,Later Han province name; 豫州; audited source cell H1,,approved,region:later_han/h001,true
loc:later_han/region/n001/name,ko-KR,기주,Later Han province name; 冀州; audited source cell N1,,approved,region:later_han/n001,true
loc:later_han/region/w001/name,ko-KR,연주,Later Han province name; 兗州; audited source cell W1,,approved,region:later_han/w001,true
loc:later_han/region/ae001/name,ko-KR,서주,Later Han province name; 徐州; audited source cell AE1,,approved,region:later_han/ae001,true
loc:later_han/region/aj001/name,ko-KR,청주,Later Han province name; 青州; audited source cell AJ1,,approved,region:later_han/aj001,true
loc:later_han/region/ap001/name,ko-KR,형주,Later Han province name; 荊州; audited source cell AP1,,approved,region:later_han/ap001,true
loc:later_han/region/aw001/name,ko-KR,양주,Later Han province name; 揚州; audited source cell AW1,,approved,region:later_han/aw001,true
loc:later_han/region/bc001/name,ko-KR,익주,Later Han province name; 益州; audited source cell BC1,,approved,region:later_han/bc001,true
loc:later_han/region/bo001/name,ko-KR,량주,Later Han province name; 涼州; audited source cell BO1,,approved,region:later_han/bo001,true
loc:later_han/region/ca001/name,ko-KR,병주,Later Han province name; 並州; audited source cell CA1,,approved,region:later_han/ca001,true
loc:later_han/region/cj001/name,ko-KR,유주,Later Han province name; 幽州; audited source cell CJ1,,approved,region:later_han/cj001,true
loc:later_han/region/cu001/name,ko-KR,교주,Later Han province name; 交州; audited source cell CU1,,approved,region:later_han/cu001,true
loc:later_han/district/a003/name,ko-KR,하남윤,Later Han district name; 河南尹; audited source cell A3,,approved,district:later_han/a003,true
loc:later_han/district/b003/name,ko-KR,하내군,Later Han district name; 河內郡; audited source cell B3,,approved,district:later_han/b003,true
loc:later_han/district/c003/name,ko-KR,하동군,Later Han district name; 河東郡; audited source cell C3,,approved,district:later_han/c003,true
loc:later_han/district/d003/name,ko-KR,홍농군,Later Han district name; 弘農郡; audited source cell D3,,approved,district:later_han/d003,true
loc:later_han/district/e003/name,ko-KR,경조윤,Later Han district name; 京兆尹; audited source cell E3,,approved,district:later_han/e003,true
loc:later_han/district/f003/name,ko-KR,좌풍익,Later Han district name; 左馮翊; audited source cell F3,,approved,district:later_han/f003,true
loc:later_han/district/g003/name,ko-KR,우부풍,Later Han district name; 右扶風; audited source cell G3,,approved,district:later_han/g003,true
loc:later_han/district/h003/name,ko-KR,영천군,Later Han district name; 潁川郡; audited source cell H3,,approved,district:later_han/h003,true
